"","PLAYER_ID","PLAYER_NAME","CLASS","GP","G","SHOT_TYPE","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"37","201939","Stephen Curry","ShotClockShooting",47,45,"15-18",0.213,1.87,3.79,0.494,0.604,0.102,1.04,1.81,0.576,0.112,0.83,1.98,0.419
"38","201939","Stephen Curry","ShotClockShooting",47,46,"07-15",0.367,3.11,6.51,0.477,0.587,0.185,1.68,3.28,0.513,0.182,1.43,3.23,0.441
"39","201939","Stephen Curry","ShotClockShooting",47,30,"04-07",0.072,0.55,1.28,0.433,0.525,0.037,0.32,0.66,0.484,0.035,0.23,0.62,0.379
"40","201939","Stephen Curry","ShotClockShooting",47,22,"00-04",0.034,0.11,0.6,0.179,0.214,0.011,0.06,0.19,0.333,0.023,0.04,0.4,0.105
"41","201939","Stephen Curry","ShotClockShooting",47,17,"ShotClock Off",0.048,0.3,0.85,0.35,0.425,0.018,0.17,0.32,0.533,0.03,0.13,0.53,0.24
"42","201939","Stephen Curry","DribbleShooting",47,47,"0 Dribbles",0.384,3.55,6.81,0.522,0.695,0.106,1.19,1.87,0.636,0.278,2.36,4.94,0.478
"43","201939","Stephen Curry","DribbleShooting",47,43,"1 Dribble",0.127,1.09,2.26,0.481,0.58,0.06,0.64,1.06,0.6,0.067,0.45,1.19,0.375
"44","201939","Stephen Curry","DribbleShooting",47,35,"2 Dribbles",0.08,0.62,1.43,0.433,0.515,0.05,0.38,0.89,0.429,0.03,0.23,0.53,0.44
"45","201939","Stephen Curry","DribbleShooting",47,46,"3-6 Dribbles",0.224,1.6,3.98,0.401,0.471,0.127,1.04,2.26,0.462,0.097,0.55,1.72,0.321
"46","201939","Stephen Curry","DribbleShooting",47,44,"7+ Dribbles",0.185,1.49,3.28,0.455,0.516,0.109,1.09,1.94,0.56,0.076,0.4,1.34,0.302
"47","201939","Stephen Curry","ClosestDefenderShooting",47,38,"0-2 very tight",0.128,1.17,2.28,0.514,0.547,0.106,1.02,1.87,0.545,0.023,0.15,0.4,0.368
"48","201939","Stephen Curry","ClosestDefenderShooting",47,46,"2-4 tight",0.314,2.36,5.57,0.424,0.481,0.194,1.72,3.45,0.5,0.12,0.64,2.13,0.3
"49","201939","Stephen Curry","ClosestDefenderShooting",47,47,"4-6 open",0.366,3.13,6.49,0.482,0.623,0.125,1.3,2.21,0.587,0.241,1.83,4.28,0.428
"50","201939","Stephen Curry","ClosestDefenderShooting",47,44,"6+ wide open",0.192,1.68,3.4,0.494,0.697,0.028,0.3,0.49,0.609,0.164,1.38,2.91,0.474
"51","201939","Stephen Curry","ClosestDefender10ftPlusShooting",47,22,"0-2 very tight",0.043,0.3,0.77,0.389,0.486,0.02,0.15,0.36,0.412,0.023,0.15,0.4,0.368
"52","201939","Stephen Curry","ClosestDefender10ftPlusShooting",47,42,"2-4 tight",0.182,0.98,3.23,0.303,0.401,0.062,0.34,1.11,0.308,0.12,0.64,2.13,0.3
"53","201939","Stephen Curry","ClosestDefender10ftPlusShooting",47,47,"4-6 open",0.307,2.45,5.45,0.449,0.617,0.066,0.62,1.17,0.527,0.241,1.83,4.28,0.428
"54","201939","Stephen Curry","ClosestDefender10ftPlusShooting",47,44,"6+ wide open",0.187,1.6,3.32,0.481,0.689,0.023,0.21,0.4,0.526,0.164,1.38,2.91,0.474
"55","201939","Stephen Curry","TouchTimeShooting",47,47,"Touch < 2 Seconds",0.481,4.36,8.53,0.511,0.666,0.153,1.72,2.72,0.633,0.327,2.64,5.81,0.454
"56","201939","Stephen Curry","TouchTimeShooting",47,46,"Touch 2-6 Seconds",0.327,2.51,5.81,0.432,0.513,0.188,1.57,3.34,0.471,0.139,0.94,2.47,0.379
"57","201939","Stephen Curry","TouchTimeShooting",47,43,"Touch 6+ Seconds",0.192,1.47,3.4,0.431,0.494,0.11,1.04,1.96,0.533,0.082,0.43,1.45,0.294
"58","201142","Kevin Durant","Overall",48,48,"Overall",1,9.35,17.13,0.546,0.603,0.704,7.4,12.06,0.613,0.296,1.96,5.06,0.387
"59","201142","Kevin Durant","GeneralShooting",48,48,"Catch and Shoot",0.285,2.38,4.88,0.487,0.643,0.082,0.85,1.4,0.612,0.203,1.52,3.48,0.437
"60","201142","Kevin Durant","GeneralShooting",48,48,"Pull Ups",0.305,2.17,5.23,0.414,0.452,0.219,1.77,3.75,0.472,0.086,0.4,1.48,0.268
"61","201142","Kevin Durant","GeneralShooting",48,48,"Less than 10 ft",0.376,4.56,6.44,0.709,0.709,0.376,4.56,6.44,0.709,0,0,0,NA
"62","201142","Kevin Durant","GeneralShooting",48,22,"Other",0.034,0.25,0.58,0.429,0.464,0.028,0.21,0.48,0.435,0.006,0.04,0.1,0.4
"63","201142","Kevin Durant","ShotClockShooting",48,24,"22-24",0.043,0.56,0.73,0.771,0.843,0.032,0.46,0.54,0.846,0.011,0.1,0.19,0.556
"64","201142","Kevin Durant","ShotClockShooting",48,45,"18-22",0.193,1.96,3.31,0.591,0.667,0.117,1.46,2,0.729,0.077,0.5,1.31,0.381
"65","201142","Kevin Durant","ShotClockShooting",48,45,"15-18",0.185,1.77,3.17,0.559,0.605,0.131,1.48,2.25,0.657,0.054,0.29,0.92,0.318
"66","201142","Kevin Durant","ShotClockShooting",48,47,"07-15",0.436,4.15,7.46,0.556,0.615,0.327,3.27,5.6,0.584,0.108,0.88,1.85,0.472
"67","201142","Kevin Durant","ShotClockShooting",48,26,"04-07",0.054,0.38,0.92,0.409,0.42,0.043,0.35,0.73,0.486,0.011,0.02,0.19,0.111
"68","201142","Kevin Durant","ShotClockShooting",48,27,"00-04",0.045,0.27,0.77,0.351,0.392,0.028,0.21,0.48,0.435,0.017,0.06,0.29,0.214
